First ,Middle,Last,University,Elsevier ID,Comments about Elsevier IDs,Home department,Secondary department (if any),Note:
Richard,A,Bonneau,NYU,7006793027,,Department of Biology,Department of Computer Science,
Adam,M,Brandenburger,NYU,16241174800,,Department of Economics,,
David,,Cai,NYU,54790549600,,Department of Mathematics,Center for Neural Science,
Andrew,Marc,Caplan,NYU,,,Department of Comparative Literature,,
Xi,,Chen,NYU,56072875100,,Department of Biology,,
Gloria,M,Coruzzi,NYU,7102139927,,Department of Biology,,
Kyle,S,Cranmer,NYU,36102187500,,Department of Physics,,
Nathaniel,D,Daw,NYU,7005134854,,Department of Psychology,Center for Neural Science,
Rohit,S,Deo,NYU,7004726270,,"Department of Information, Operations and Management Sciences",,
Vasant,,Dhar,NYU,7005885571,,"Department of Information, Operations and Management Sciences",,
Dustin,T,Duncan,NYU,16548960800,,Department of Population Health,,
Rob,,Fergus,NYU,14821791600,,Department of Computer Science,,
Halina,,Frydman,NYU,6603144195,,"Department of Information, Operations and Management Sciences",,
Judith,D,Goldberg,NYU,7403089953,,Department of Population Health,Department of Environmental Medicine,
Jonathan,B,Goodman,NYU,7402288987,,Department of Mathematics,,
Leslie,F,Greengard,NYU,55940969200,,Department of Mathematics,,
C Sinan,,Gunturk,NYU,6506104993,,Department of Mathematics,,
Todd,M,Gureckis,NYU,6506126125,,Department of Psychology,,
Peter ,,Halpin,NYU,36696137700,,Department of Humanities and Social Sciences in the Professions,,
Daphna,,Harel,NYU,NONE,,Department of Humanities and Social Sciences in the Professions,,
David,J,Heeger,NYU,7004974780,,Department of Psychology,Center for Neural Science,
Lisa,,Hellerstein,NYU,7004484630,,Department of Computer Science and Engineering,,
Ming,,Hu,NYU,55016835100,,Department of Population Health,,
Clifford,M,Hurvich,NYU,6701778936,,"Department of Information, Operations and Management Sciences",,
Panagiotis,,Ipeirotis,NYU,6603236863,,"Department of Information, Operations and Management Sciences",,
Srikanth,,Jagabathula,NYU,23566518400,,"Department of Information, Operations and Management Sciences",,
John,T,Jost,NYU,24492154100,,Department of Psychology,Department of Politics,
Robert,V,Kohn,NYU,35575841900,,Department of Mathematics,,
Petter,N,Kolm,NYU,7003580159,,Department of Mathematics,,
Steven,E,Koonin,NYU,55336292200,,"Department of Information, Operations and Management Sciences",,
Peter,,Lakner,NYU,6506375353,,"Department of Information, Operations and Management Sciences",,
John,V,Leahy,NYU,7102719026,,Department of Economics,,
